subject,body,label
KINDEST ATTENTION,"MR & MRS PETER WILLIAMS
EMAIL: panmentat@rediffmail.com
            panmentat@phantomemail.com
            
KINDEST ATTENTION,

PLEASE PERMIT ME TO MAKE YOUR ACQUAINTANCE IN SO INFORMAL A MANNER.
THIS IS NECESSITATED BY MY URGENT NEED TO REACH A DEPENDABLE AND
TRUSTWORTHY FOREIGN PARTNER. THIS REQUEST MAY SEEM STRANGE AND
UNSOLICITED BUT I CRAVE YOUR INDULGENCE AND PRAY THAT YOU TAKE MY
REQUEST VERY SERIOUS.

I AM MR PETER WILLIAMS, A REKNOWNED BUSINESSMAN IN ONE OF THE
REBEL-HELD TOWNS, BOUAKE (ONE OF THE WAR ZONES IN IVORY COAST)
I RECEIVED INFORMATION FROM A RELIABLE SOURCE WHO DESCRIBED YOUR
COUNTRY AS BEING ECONOMICALLY CONDUCIVE FOR INVESTMENT
AND HER PEOPLE AS TRANSPARENT AND TRUSTWORTHY TO ENGAGING BUSINESS
WHICH MADE ME TO WRITE YOU. AS YOU MAY WANT TO KNOW
AND TO MAKE YOU LESS CURIOUS,I GOT YOUR EMAIL ADDRESS FROM AN
INTERNET SITE THAT PORTRAYED YOU (YOUR ESTABLISHMENT) IN GOOD
LIGHT.

ON THE 17TH OF SEPTEMBER 2002. THE REBEL LEADERS, UNTIL THEN WERE
LOYAL SOLDIERS TO THE GOVERNMENT OF PRESIDENT LAURENT GBAGBO 
CONTACTED ME IN MY OFFICE WITH THE BUSINESS OF IMPORTATION OF
ARMOURIES. WITHOUT THE PREMONITION OF WAR, I ACCEPTED THE JOB. THE
SOLDIERS PAID ME THE SUM OF TWENTY MILLION FIVE HUNDRED THOUSAND
UNITED STATES DOLLARS (US$ 20.5) ON THE SPOT AND TOLD ME TO EXPEDITE
ACTION. SINCE I AM NOT INTO IMPORTATION OF ARMUNITIONS AND BECAUSE OF
THE URGENCY, I IMMEDIATELY STARTED MAKING SEVERAL CONTACTS WITH
BUSINESSMEN ACROSS THE GLOBE.

TWO DAYS LATER, HEAVY FIGHTING BROKE UP IN CENTRAL BAOUKE AND
KORHOGO, EVERYWHERE WAS IN DISSARRAY AND I LOST EVERYTHING THAT TOOK
ME SO MANY YEARS TO ACQUIRE. I HAVE NO OPTION THAN TO DO AWAY WITH
THE US$20.5M.


MY WIFE AND I QUICKLY MADE AN ARRANGEMENT WITH A RED CROSS RELIEF
WORKER WHO USED HIS OFFICIAL VAN TO MOVE THIS MONEY TO ABIDJAN,
ALTHOUGH HE DID NOT KNOW THE REAL CONTENT OF THE BOX.  PRESENTLY,
THIS FUND HAS BEEN DEPOSITED WITH A SAFE RELIABLE SECURITY COMPANY IN
ABIDJAN WHERE I AM HIDING FROM THE REBEL WHO DECLEARED ME WANTED. I
DO NOT WANT TO INVEST THIS MONEY IN ABIDJAN DUE TO UNFAVORABLE
ECONOMIC CLIMATE.  AS A RESULT, I KEPT THE MONEY IN A CUSTOM BONDED
WAREHOUSE WITH THE SECURITY COMPANY.  SO THAT I CAN NOT LAY MY HANDS
ON IT UNTIL
IT GETS TO YOUR COUNTRY, WHERE I WILL COMMENCE INVESTMENT.

THE ONLY ASSISTANCE WE NEED FROM YOU WHICH I BELIEVE
YOU WOULD DO FOR US ARE THE FOLLOWING:

1. MAKE IMMEDIATE ARRANGEMENT TO TAKE THE DELIVERY OF
THE CRATE (FUND) AT THEIR EUROPE OR AMERICAN
COMMISSION AGENTS.
2. ASSURANCE FROM YOU THAT YOU WILL NOT SIT ON OUR
SHARE WHEN THIS FUND GETS TO YOUR COUNTRY.

MY WIFE AND I AGREED THAT YOU SHALL BE ENTITLED TO 20% OF THE TOTAL
AMOUNT WHILE THE PRINCIPAL SUM WILL BE INVESTED IN A VIABLE BUSINESS
VENTURE WITH YOUR ADVICE. MOST IMPORTANTLY, I WILL LIKE TO BUY A
PERSONAL HOUSE WHERE MY WIFE, MY TWO SONS AND I WILL RESIDE.

UPON CONFIRMATION OF YOUR INTEREST TO HELP US AS OUR FOREIGN PARTNER
TO CLAIM THE CRATE FROM THE SECURITY COMPANY ON OUR BEHALF AT ANY OF
THEIR COMMISSION AGENT CLOSER TO YOU, I SHALL FURNISH YOU WITH THE
DETAILS OF THE MOVEMENT OF THE CONSIGNMENT TO BE SCHEDULED IN YOUR
FAVOUR BY THE SECURITY COMPANY PREPARE AN AIRWAY BILL AND TAG THE
CONSIGNMENT IN YOUR FAVOUR.  YOUR PRIVATE FAX AND TELEPHONE NUMBERS
ARE NEEDED TO ENHANCE THE SPEEDY CONCLUSION OF THIS TRANSACTION (OUR
ONLY HOPE IN LIFE NOW) URGENTLY.
KINDLY TREAT AS URGENT AND CONTACT ME IMMEDIATELY THROUGH THE ABOVE
E-MAIL ADDRESS {PANMENTAT@REDIFFMAIL.COM OR PANMENTAT@PHANTOMEMAIL.COM}.
I HAVE NOT ACQUIRED A NEW PHONE AS I LOST ALL MY PROPERTIES IN BOAUKE

YOURS FAITHFULLY,

MR PETER WILLIAMS

",phishing
PLEASE MY DEAR FRIEND IT IS VERY URGENT,"
NAME:MRS. SUZANA NUHAN VAYE
%BARR.JAMES BRODERICK (ATTORNEY)
TEL/FAX:44-70-40120730
EMAIL:jbroderick@satellite-email.com
EMAIL:jbroderick@o2.pl
EMAIL:jbroderick@MAIL.NU

ATTN: MD/CEO

Kindly accept my apology for sending my mail to you.Please, I sincerely wish to let you know that this is not the kind of e-mails that you will refer to as ""spam"" or it's like. I am genuine and my attorney will prove it to you once he hear from you.Please help me out in this my condition. I believe you are a highly respected personality,considering the fact that I sourced your profile from a human resource profile database on your country in the Internet.

Though, I do not know to what extent you are familiar with events and fragile political situation in Liberia but it has formed consistent headlines in the CNN, BBC news bulletins.

My Name is MRS.SUZANA NUHAN VAYE from Liberia,a Country in West Africa. My late Husband is Issac Nuhan Vaye, Deputy Minister of Publ ic Works in Liberia. My Husband was falsely accused of plotting to remove the then PRESIDENT OF LIBERIA CHARLES TAYLOR) from office.Without trial, Charles Taylor killed him. You can verify this from some of the 
international newspapers posted in the web sites below:

(I)http://www.usatoday.com/news/world/2003-07-15-liberia_x.htm

Before my husband was killed, he moved out the sum of $21.5 million through a diplomatic means, and deposited it with a Security Company Abroad. And this money was meant for importation of agricultural machinery.

All that is needed is for my lawyer to instruct the company to transfer the funds to your account, I will remunerate you with 20% at the end,but most of all is that I solicit your trust and honesty in this transaction. I have been confined only to our country home and all my calls are monitored, so I wil l advise you to contact my private Attorney Barr.James Broderick base in United Kingdom on his contact stated below for onward proceedings: -

NAME:BARR.JAMES BRODERICK(ATTORNEY)
TEL/FAX:44-70-40120730
EMAIL:jbroderick@satellite-email.com
EMAIL:jbroderick@o2.pl
EMAIL:jbroderick@MAIL.NU

Kindly include your Full Name,Residential or Company Address, Private Telephone, Mobile and Fax Number where you can always be reached,to enable him send details/documents that will enable you receive the fund without any problem either now or in future as allmodalities as been perfected.

Please your urgent response is needed.

God bless you.

Best Regards.

MRS.SUZANA NUHAN VAYE (WIDOW)





___________________________________________________________________________
Mail sent from WebMail service at PHP-Nuke Powered Site
- http://yoursite.com


",phishing
FROM:DESK OF MR HAROUNA  HAJI,"FROM:DESK OF MR HAROUNA  HAJI
MR HAROUNA  HAJI
BANK OF AFRICA (BOA)
OUAGADOU-BURKINA FASO
PHONE NUMBER  00226-76-01-58-41.

ATTN: SIR,

THIS MESSAGE MIGHT MEET YOU IN UTMOST SURPRISE.HOWEVER,IT'S JUST MY
URGENT NEED FOR FOREIGN PARTNER THAT MADE ME TO CONTACT YOU FOR THIS
TRANSACTION. I AM A BANKER BY PROFESSION FROM BURKINA FASO IN WEST AFRICA


AND CURRENTLY HOLDING THE POST OF ASSISTANT FOREIGN REMITTANCE DIRECTOR IN
OUR BANK.



I HAVE THE OPPORTUNITY OF TRANSFERRING THE LEFT OVER FUNDS
($ 8 MILLION) OF ONE OF MY BANK CLIENTS WHO DIED ALONG WITH HIS ENTIRE
FAMILY ON 31 JULY 2000 IN A PLANE CRASH.YOU CAN CONFIRM THE GENUINE OF THE
DECEASED DEATH BY CLICKING ON THIS WEB SITE
http://news.bbc.co.uk/2/hi/europe/859479.stm

HENCE, I AM INVITING YOU FOR A BUSINESS DEAL WHERE THIS MONEY CAN BE
SHARED BETWEEN US IN THE RATIO OF 60/40 IF YOU AGREE TO MY BUSINESS
PROPOSAL.

FURTHER DETAILS OF THE TRANSFER WILL BE FORWARDED TO YOU AS SOON AS I
RECEIVE YOUR RETURN MAIL.

HAVE A GREAT DAY.
YOURS,

MR HAROUNA  HAJI.





--------------------------------------------------------------------------------------------
Nueva Barra de Herramientas de OZÚ. Navega Más facilmente por Internet.
¡Descargatela gratis! http://barra.ozu.es/
--------------------------------------------------------------------------------------------
Correo enviado desde http://www.ozu.es


",phishing
TRANSFER / INVESTMENT. ,"AMINA WAZI
54 SMITH STREET
JOHANESBURG  4001
KZN
SUTH AFRICA
TEL+27-734-064-109                                


Dear

I pray insha Allah that this mail will meet you ingood condition,I am AMINA WAZI 
the daughter of ALI  HASSAN from IRAQ, I finished my studies in Manchester 
University in England, I wish to seek assistance from you to claim my part
of my father funds US$9.5m (Nine Million, Five Hundred Thousand Dollars).
This happened when I foresee danger during the attack of the coalition 
forces from the United States America, I managed to move this funds out
through United Nations who was in my country for inspection on chemical 
weapons to SOUTH AFRICA.At the moment, I do not know when these problems 
will be over and I wouldnot want the funds to sit in the office of united
nation for so long because of the demurrage levied against it by the agency
in charge of the funds.The funds so far is  under the watchful eyes of 
KM-BEKI ENTERPRISES affiliated with United Nations office in SOUTH AFRICA. 
Sir, on receipt of your reply, I will give you the contact details of 
theagency inSOUTH AFRICA.  I will instruct them to deliver the funds to you
either by wiring itdirectly to your account in your country or you come to
SOUTH AFRICA and claim the funds on my behalf.
For your kind gesture and assistance, I am ready to compensate you 
abundantly, lastly, I will preciate if you disclose the details about your
self to me to enable me know who and where my funds will be transferred to.
Thank you and Allah be with you.
Yours sincerely
MRS AMINA WAZI





",phishing
the delivery of the equipment you ordered is scheduled .,"- - - automatic notification system ( request # : ecth - 4 r 5 mlm )
requested for : vince j kaminski
requested by : shirley crenshaw
your order ( see below ) has been assigned to ron cooper . technician will
contact you for information and delivery time . please contact the technician
if you have any question .
en 6600 desktop p 3 - 600 10 gb 64 mb 32 x nt 4 . 0
en 6600 128 mb installed in desktop
21 "" vl 100 monitor",legitimate
Your parcel has arrived,"Dear Customer,  Your parcel has arrived at the post office. Our courier was unable to deliver the parcel to you due to incorrect delivery details. To receive your parcel,download attached receipt and forward to nearest DHL office.   DOWNLOAD ATTACHMENT Dear Customer, Your parcel has arrived at the post office.Our courier was unable to deliver the parcel to you due to incorrect delivery details.To receive your parcel,download attached receipt and forward to nearest DHL office.  DOWNLOAD ATTACHMENT ï»¿ DHL | Tracking System Sign in with your receiving email account to view document  				  Email Password   Remember me on this computer     Copyright ? 2016 Adobe Systems Incorporated. All rights reserved.",phishing
vital  link.,"ATTENTION PLS,
 
Pls go through and reply me now I am writing this letter in confidence 
believing that if it is the wish of God for you to help me and my 
family, God almighty will bless and reward you abundantly. 
My family and I are true Christians and worship's God truthfully. I got 
your contact through Internet during my research on some one who could 
help us. 
I am a female university student from Accra Ghana,  I am 25 yrs old. I 
do like any person who can be caring, loving and home oriented. I will 
love to have a long-term relationship with you and to know more about 
you. I would like to build up a solid foundation with you in time coming 
if you can be able to help me in this transaction. Well, my fathers 
died earlier seven months ago and left my mother I and my junior brother 
behind. He was a king, which our town citizens titled him before his 
death. I was a Princess to him and I and my brother are the only people 
who can take Care of his wealth now because my mother is not literate 
enough to know all my fathers wealth behind. He left up to USD 5, 350, 
000.00 dollars (FIVE MILLION, THREE HUNDRED AND FIFTY THOUSAND US 
DOLLARS,AND ABOUT 100 KG OF ALLUVIA GOLD DUST)with a security company, and I 
dont know how and what I will do to invest this money somewhere in 
abroad,and process the sale of carat so that my fathers kindred will not take 
over what belongs to my father and our family, which they were planning 
to do without my presence because I am a female as stated by our 
culture in the town. That is why I felt happy when I saw your contact which I 
strongly believe that by the grace of God, you will help me secure and 
invest this money. I thereby need your help in bringing the box 
contaning the money out from the security company, based on your reply I will 
furnish you with more details on how we can proceed. 
I am ready to pay 10% of the total amount to you if you help us in 
securing this money and another 10% interest of Annual Income to you, for 
handling this business for us, which you will strongly have absolute 
control over. If you can handle this project sincerely and also willing to 
assist me in lifting this fund, kindly reach me and I will let you know 
the next step to take towards actualizing this transaction as quickly 
as possible Please, note that this transaction is 100% risk free.I look 
forward hearing from you soonest. Yours sincerely

Princess Jamie opuku
 
 



",phishing
Password Update Help Desk,"Password will expire in 2 days. Click Here To Validate E-mail Thank you, Copyright © 2005-2016 Desk Password will expire in 2 days. Click Here To Validate E-mail Thank you, Copyright © 2005-2016 Desk",phishing
proposed retention bonuses for netco,"louise ,
i am sorry to bother you at such a critical time , because i know you are doing everything you can to salvage the remaining pieces at enron and are working long & tiresome hours to achieve this difficult matter .
however , i felt like i had to at least let you know my thoughts on the following .
dave forster & i met a couple of weeks ago on his initiative to discuss the proposed retention bonuses for my group . i was asked to review the preliminary numbers by individual . i was allowed to move dollars but not allowed to increase the total dollar figure for my group . frankly , the numbers seemed pretty low .
assuming the goal is to retain key employees for netco , i am not confident these numbers will achieve this .
i know several people in my group are interviewing outside of the company . i have asked them to be patient , not make any quick decisions , and give us a chance to see this through .
dave told me the figures were based on mid year evaluations . as you know , mid year evaluations are typically lower than year end . the mid year evaluation allows the employee time to improve in order to get to the desired level by year end . i understand the need for a reference point of some sort and mid year was the latest figure available . however , because the retention numbers were based on this , they are significantly lower .
my intentions are not to show any disrepect to dave by discussing this with you but i wanted to make sure my thoughts / opinions were communicated to you . if dave has already discussed this with you , i apologize for the duplication .
if you have any questions , please feel free to call me . i am on holiday & will be traveling today but can be reached on my cell at 713 - 446 - 9669 .
thank you for your time .
jennifer",legitimate
california update 7 / 26 / 01 p . 3,"below are the current provisions keeley and hertzberg are wanting to pass into legislation ( when they return from recess ) . currently , they are not sure if all of these amendments would be wrapped up into one bill or if they would just amend bill sb 78 xx while introducing a new bill sb _ xx . working under the assumption that they would amend bill 78 xx and introduce a new one , the following issues are a reflection of their current positions . if they decide to introduce one new bill than the issues below would be included into one piece of legislation . please remember , these issues are only their current thoughts and are such to change .
socal debt
sb _ xx
no provision for debt .
sb 78 xx ( amended )
approximately $ 2 . 9 b through corporate bond financing supported by a dedicated rate component ( drc ) over a period of time sufficient to pay the bonds ( 10 - 15 years ) . final debt amount to be established by the puc and the state auditor .
core vs . non - core
sb _ xx
for purposes of paying the socal debt , creates a core program for consumers with a peak demand of less than ? kw and non - core customers of ? kw or more . they would share in the cost of socal debt retirement : ( 1 ) all consumers share pro rata for the first two years , ( 2 ) non - core pay 100 % after two years .
sb 78 xx ( amended )
no provisions .
transmission system purchase
sb _ xx and sb 78 xx
no purchase of transmission assets .
conservation easements
sb _ xx
no conservation easements .
sb 78 xx ( amended )
specific conservation easements and other land arrangements described in bill for about 24 , 000 acres per the governor ' s mou .
direct access
sb _ xx
removes regulatory constraints on a direct access program effective january 1 , 2002 and permits customers to buy power if there is a net short after socal native generation , bilateral contracts , and dwr contracts . residential and small commercial customers may use direct access from renewable energy sources .
sb 78 xx ( amended )
no provisions for direct access .
ratepayer benefit account
sb _ xx
deposits in the account any refunds or net cash resulting from ( a ) any refunds ordered by ferc or from litigation , and ( b ) any positive dwr power fund revenues ; all to be refunded to ratepayers through either bill credits or rate reductions in proportion to the march , 2001 puc rate increase .
sb 78 xx ( amended )
does not create a ratepayer benefit account .
electric supplier claims settlement trust
sb _ xx and sb 78 xx
does not create a trust or trustee to negotiate reductions .
renewable energy
sb _ xx
creates a renewable portfolio standard ( rps ) to achieve a target of 10 % of all new generating capacity additions through 2010 and overall 20 % of statewide total generating capacity by 2010 . munis have been exempted from the rps .
sb 78 xx ( amended )
no provisions for renewable energy .",legitimate
From Mr. Barry Henry,">From Mr. Barry Henry
Outer Circle
Regents Park
NW3 4RY
London

Good 
Day,

Please accept my sincere apologizes if my email does not meet 
your business or personal ethics. I will first introduce myself as Mr. 
Barry Henry, a staff in the Private Clients Section of a well-known 
bank, here in London, England.

One of our accounts, with holding 
balance of £15,000,000 (Fifteen Million Pounds Sterling) has been 
dormant and last operated three years ago. From my investigations and 
confirmation, the owner of the said account, a foreigner by name John 
Shumejda died on the 4th of January 2002 in a plane crash in 
Birmingham; you can view this CNN website

http://edition.cnn.
com/2002/WORLD/europe/01/04/england.plane/

for details on the crash.

Since then, nobody has done anything as regards the claiming of this 
money, as he has no family member that has any knowledge as to the 
existence of either the account or the funds; and also Information from 
the National Immigration also states that he was single on entry into 
the UK.

I have confidently discussed this issue with some of the bank 
officials and we have agreed to find a reliable foreign partner to deal 
with. We therefore propose to do business with you, standing in as the 
next of kin of these funds from the deceased and funds released to you 
after necessary processes have been followed.

This transaction is 
totally free of risk and troubles as the fund is legitimate and does 
not originate from drug, money laundry, terrorism or any other illegal 
act.

On your interest, let me hear from you.

Warm Regards,

Mr. Barry 
Henry.

Phone Number: +447024078659
Fax Number: +448704792418


",phishing
GOOD DAY,"Dear Friend, My name is Dr Willison Van, am the branch and computer management department here confidential business proposition for you.  On october 6, 2002, an American Geologist/Contractor with the Economic  Community Of West African States (ECOWAS), Dr. George W.Brumley From  Atlanta,U.S.A Deposited the sum of US$15,500,000.00 ( Fiften million Five  hundred thousand Dollars only) in my bank. Upon maturity,I sent aroutine  notification to his forwarding address but got no reply. After a month,we  sent a reminder and finally we discovered from his contract employers,the  Economic Community Of West Africa States (ECOWAS) that Dr George W.Brumley  died in a plane crash with his intire family in Kenya,East Africa in the year 2003. I want you to visit the website below for more information about the PlaneCrash: I therefore made further investigation and discovered that In the bank form  for next of kin, George W.Brumley Before his death filled his wife JEAN  BRUMLEY as his next of kin but unfortunately, the wife died with him along  others and therefore, there is nobody left behind to claim the fund of Dr. George Brumley as his next of kin that was why I contacted you and  proposed it as a deal between us. Meanwhile, Official documents, including his Bank Deposit paperwork in my Bank as the next of kin was in the name of his wife. Based on that, No one  will ever come forward to claim itI will like to seek foryour  permission as a foreigner to stand as the next of kin to Dr.George W.Brumley  so that the fruits of this old man's labor will not be use for financing  weapons which will further enhance the courses of war in the world in general. The money will be paid into your account for us to share in the ratio of 55%  for me and 40% for you and 5% for Expenses Incurred in the course of the  transaction.There is no risk at all as all the paperwork for this  transaction will be done accordingly and with my position as the bill the  exchange guarantees the successful execution of this transaction. if you are interested, please reply immediately  address: by indicating your address, Account number,  phone and fax number for easy communication. Upon your response, I shall then  provideyou with more details and that will help you understand the transaction  Finally, You should observe utmost confidentiality, and rest assured that  this transaction would be most profitable for both of us because I shall require your assistance to invest my share in your country. Anxiously Awaiting for your urgent response. Thanks and best regards to your family. FROM Dr Willison Van",phishing
MR ROLAND CONTACTING YOU,">From Mr.Roland Nulget
Po box 3038, 57
Victoria street,
London SW1H,
London

Attention Please, 

I feel obliged writing this mail to you. I 
am not quite exposed to foreign business and friends hence i write to 
you with hope and trust that you will welcome my mail without being 
bias and that you will be trust worthy to me. 

In order to transfer 
out 12,500,000.00 ( Twelve million, five hundred thousand British 
pounds) from our bank(Firm). I have the courage to look for a reliable 
and Honest Person who will be capable of handling this Important 
Business transaction,believing that you will never let me down either 
now or in Future. 

The owner of this account is Mr. David Hagen 
foreigner and the Manager Of petrol chemical service, a chemical 
engineer by Profession and he died since 1990.the account has no other 
beneficiary And my Investigation proved to me as well that his company 
does not know anything About this account. 

I want to transfer this 
money into a safe foreign account abroad but i Don't know any foreigner,
i know that this message will come to you as a surprise as we have not 
had any correspondence before and you have to admit that we don't know 
ourselves before,but due to the strict confident and your versatility 
in business that motivated my interest to seek your co-op ration in 
this business magnitude of this nature and by your 99.9% reliability 
and straight forwardness given about you that sticked my interest in 
revealing this top secreat to you. 

But be sure that it is real And A 
Genuine business as I believe in God that you will never let me down in 
this transaction till the fund is remitted to your nominated account 
while i will travel to your respective country to collect my own share 
of the money, and we have concluded that at the conclusion of this 
business,you will be offer 25% of the total amount while 60% will be 
for me and the rest of 15% will be for any expenses both party will 
incur in the process of transacting this business. 

I look forward to 
your earliest reply by email for more details. 

Reply to ;
auditor@freeweb.org
Best regards 

Mr.Roland

This message is for the 
designated recipient only and may contain privileged, proprietary, or 
otherwise private information. If you have received it in error, please 
notify the sender immediately and delete the original. Any other use of 
the email by you is prohibited.


",phishing
re : meet during cmu visit ?,"aziz ,
please , contact me before or after the presentation and we can find
a time slot to chat later on friday .
vince
al 3 v on 10 / 31 / 2000 01 : 59 : 11 pm
to : vince . j . kaminski @ enron . com
cc :
subject : meet during cmu visit ?
dr . kaminski :
i am a ph . d . student here at carnegie mellon who has a long - standing
interest in the energy industry .
i have recently developed the framework of a simple model for electricity
prices that i would like your opinion on . could you please chalk out some
time for me during your cmu visit this friday ?
unlike traditional electricty pricing models , which assume that the
log - price is a sum of a couple of stochastic factors , i assume that some
fundamentals of the electricity market are driven by stochastic factors .
next , given the current values of these factors , price is determined by
economic forces of profit maximization by price setting electricity
generators . unlike typical factor models , the factors in my model are
potentially observable .
thank you ,
aziz a . lookman
graduate school of industrial administration
5000 forbes avenue
carnegie mellon university
pittsburgh , pa 15213
tel : 412 - 268 - 3681
fax : 412 - 268 - 6837
( pls . mark the fax c / o jackie cavendish )",legitimate
GOOD DAY,"ATTN:

Re Urgent Assistance
  
Kindly allow me the modesty of introducing myself. I am GEORGE KABILA,the son of the former head of state/ president of Congo-Kinshasha (then called Zaire) Mr. Laurent Desire Kabila.
  
I am contacting you in order to ask for your assistance on this confidential Business proposal with full financial benefit for both of us.
  
Before I go into further details please be informed that I am writing without any other person(s) pre-knowledge of my contacting you on this  transaction. Therefore I will appreciate same attitude to be maintained all through.
  
I have the sum of USD55Million from a secret sale of Diamond by my father before he was assassinated by one of his body guard (Rashid) on  January 16th 2001, which I will like you to receive on my behalf due to security  reasons,as my narration below will explain. But before I continue be well informed that your share in this transaction has been calculated at  15% of the total sum of USD$55M, 5% for expenses and the rest for my family and me.
  
My father as a real African traditionalist was a polygamist thereby having married so many wives, and my mother being the second wife of my  father, My step brother Joseph, who is the current president of my country, is  the son of the first wife and he does not have any knowledge about this deal.
  
Already president Joseph is using his power to colonize all the money and private property, which my father left behind for the whole family.  Now my mother and I are left with nothing in the inheritance of my late  father's wealth. Our situation is seriously critical that we need your  assistance to help us receive these funds overseas for proper investment.
  
Let me quickly assure you the 100% safe proof of this transaction because the diamond sales are packaged from the onset in a pattern that shows no  direct trace or linkage with us (Kabila family). At present the money is in cash and is secured in a financial institution company as consignment.
  
The consignment will be released within seven (7) days of my being in receipt of your reply via my email address above only for security reasons.
  
I am waiting for your swift and favorable response, and in case you have any question(s), do not hesitate to contact me.

my aternative email address is (ppkabil@37.com)

my private phone number is :+229-988-039

Best Regards,
GEORGE KABILA 



",phishing
Dr.MRS MARIAM ABACHA,"ATTENTION

Dear; I am delighted to write this letter to you hoping that you will understand
my predicament and answer back without hesitation. I am MRS.MARIAM ABACHA
wife of the late Nigerian Head of State GENERAL SANI ABACHA. I got your
contact through business inquires from the chamber or commerce as I was
making contact for a Honest foreigner who will help save my life and my
children, hence our country has been frustrating to us since the death of
my husband. 

I am in possession of $35,000.000 (THIRTY FIVE MILLION U.S DOLLARS) which
I want to invest in your country. For your clarification and understanding,
this money is in a truck box which was deposited with a security company
indisguise as a family treasure DIAMOND AND GOLD since 5th of May 1999.
it is not an ill gotten wealth rather it was WILLED to me by my late husband.
On your acceptance to render this assistance to me, I will instruct the
security company to effect the change of ownership of this fund to your
name as the bona-fide owner/my next of kin to enable you retrieve the fund
since the box can not be moved out of our country by the family's name.


It is very important that you forward to me your full name ,your private
telephone and fax numbers/occupation,to enable me send all relevant documents
pertaining the deposit of this fund to you. Bear in mind that this transaction
demands absolute confidentiality because all properties,assets and bank
accounts both local and international bearing the ABACHA'S family name,
are been confiscated by the Already elected civilian President of Nigeria
so called (President Olusegun Obasanjo)hence I will not want to be exposed
this is to aviod losing the money. 

For your knowledge, 20% of this fund $35,000.000 (THIRTY FIVE MILLION U.S
DOLLARS) will be given to you if you assist me to secure this fund and another
10% has set aside for all the expenses you might incur during the process
of securing this fund. Example: TELEPHONE/FAX BILLS and any other miscellaneous
expenses. And bear in mind that this is the only remaining fund for the
survival of my family. Nevertheless if you are in any reason not intrested
in this proposal kindly inform me so that i will start to look for another
reliable contact

Thanks as I wait for your immediate response
Please you can view this website and see how my
family's name is been messed up; 


Yours truly. 

Dr.MRS MARIAM ABACHA





",phishing
I NEED YOUR URGENT REPLY  CONFIDENTIAL PLEASE,"FROM THE DESK OF DR.ADAMU ALI,
AUDITING AND ACCOUNTING MANEGER,
BANK OF AFRICA (B.O.A)
OUAGADOUGOU-BURKINA FASO.

Dear Friend,


I am the manager of auditing and accounting at the foreign remittance 
department of BANK OF AFRICA (B.O.A) here in Ouagadougou, Burkina Faso. In 
my department we discovered an abandoned sum of US$15m dollars (Fifteen  
Million US dollars) in an account that belongs to one of our foreign 
customer (MR. ANDREAS SCHRANNER from Munich, Germany) who died along with 
his entire family in Jully 2000 in a plane crash.For more informations about 
the crash you can visit this site: 
http://news.bbc.co.uk/1/hi/world/europe/859479.stm

Since we got information about his death, we have been expecting his next of 
kin to come over and claim his money because we cannot release it unless 
some body applies for it as next of kin or relation to the deceased as 
indicated in our banking guidlings and laws but unfortunately we learnt that 
all his supposed next of kin or relation died alongside with him at the 
plane crash leaving nobody behind for the claim.

It is therefore upon this discovery that I now decided to make this business 
proposal to you and release the money to you as the next of kin or relation 
to the deceased for safety and subsequent disbursement since nobody is 
coming for it and we don't want this money to go into the bank treasury as 
unclaimed bill.

The banking law and guidline here stipulates that if such money remained 
unclaimed after seven  years, the money will be transfered into the bank 
treasury as unclaimed fund. The request of foreigner as next of kin in this 
business is occassioned by the fact that the customer was a foreigner and a 
Burkinabe cannot stand as next of kin to a foreigner.

I agree that 30% of this money will be for you as a respect to the provision 
of a foriegn account ,10% will be set aside for expenses incurred during the 
business and 60% would be for me Thereafter, I will visit your country for 
disbursement according to the percentage indicated Therefore, to enable the 
immediate transfer of this fund to you arranged,you must apply first to the 
bank as relation or next of kin of the deceased with a text of application 
that i will send to you,so i will like you to send to me your private 
telephone and fax number for easy and effective communication and location 
where in the money will be remitted.

Upon receipt of your reply, I will send to you by fax or email the text of 
the application . I will not fail to bring to your notice this transaction 
is hitch-free and that you should not entertain any atom of fear as all 
required arrangements have been made for the transfer. You should contact me
immediately as soon as you receive this letter.
Trusting to hear from you immediately.
Yours Faithfully,
1. NAME IN FULL:................................
2. ADDRESS:.......................................
3. NATIONALITY:...................................
4. AGE:.............................................
5. Sex..............................................
6. OCCUPATION:......................................
7. MARITAL STATUS:..................................
8. PHONE............................................
9. FAX:.............................................

DR.ADAMU ALI OF AFRICA (B.O.A)

_________________________________________________________________
Avec Windows Live OneCare liminez tous les virus de votre PC ! 
http://www.windowslive.fr/liveonecare/default.asp



",phishing
business inquiry,"Attn:The managing director/ The President.
16/07/2006.
Dear Sir,
I seeks to have business dealings with you and your companies, in
capital investments for business dealings . I will look forward to your
prompt response to enable us discuss and venture into a business
coporation, conatact should be made via mail . email address
(fredi@fastermail.com ). I will look forward to your prompt response
and future business relationship.
Thanks
Mr.Fred Chima.




",phishing
Email Security update !!,"Dear jose@monkey.org,                                                                             Your email account has exceeded it's limit and needs to be verified for your safety, if not verified within 48 hours, we will suspend your email account.   All you need to do is to update your security questions and answer in other not to loose your email account.   Kindly update your security questions below! Update your security questions and continue your usage No further action is necessary; this is just a notification for your account safety, just follow the above link and Sign Back and Continue your free usage.Have a great day!  Email Security Team.",phishing
